,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,title,writer,isbn,page_num,pub_year,rating,image_url,genres
1312,1312,1312,1312,"BAND OF BROTHERS: E COMPANY, 506TH REGIMENT, 101ST AIRBORNE FROM NORMANDY TO HITLER'S EAGLE'S NEST",STEPHEN E. AMBROSE,743464117,168,1992.0,4.0,HTTPS://S.GR-ASSETS.COM/ASSETS/NOPHOTO/BOOK/111X148-BCC042A9C91A29C1D680899EFF700A03.PNG,SCIENCE
1313,1313,1313,1313,THE ORIGIN OF SPECIES,CHARLES DARWIN,785819118,1104,1859.0,4.0,HTTPS://S.GR-ASSETS.COM/ASSETS/NOPHOTO/BOOK/111X148-BCC042A9C91A29C1D680899EFF700A03.PNG,SCIENCE
1314,1314,1314,1314,BLANKETS,CRAIG THOMPSON,1891830430,140,2003.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1460925949M/25179.JPG,PHILOSOPHY
1315,1315,1315,1315,THE STORY OF EDGAR SAWTELLE,DAVID WROBLEWSKI,61374229,170,2008.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1310466361M/2731276.JPG,BIOGRAPHY
1316,1316,1316,1316,DROWNING RUTH,CHRISTINA SCHWARZ,345439104,143,2000.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1390180160M/5171.JPG,HISTORY
1317,1317,1317,1317,POST OFFICE,CHARLES BUKOWSKI,876850867,231,1971.0,4.0,HTTPS://S.GR-ASSETS.COM/ASSETS/NOPHOTO/BOOK/111X148-BCC042A9C91A29C1D680899EFF700A03.PNG,TRAVEL
1318,1318,1318,1318,"ALL THE PRETTY HORSES (THE BORDER TRILOGY, #1)",CORMAC MCCARTHY,679744398,206,1992.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1498463335M/469571.JPG,SCIENCE
1319,1319,1319,1319,"THE COMPLETE SHERLOCK HOLMES, VOL 2","ARTHUR CONAN DOYLE, KYLE FREEMAN",1593082045,217,1914.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1347663158M/3586.JPG,TRAVEL
1320,1320,1320,1320,"ONE PIECE, VOLUME 01: ROMANCE DAWN (ONE PIECE, #1)","EIICHIRŌ ODA, ANDY NAKATANI",1569319014,146,1997.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1318523719M/1237398.JPG,CLASSIC
1321,1321,1321,1321,"THE LAST UNICORN (THE LAST UNICORN, #1)",PETER S. BEAGLE,451450523,173,1968.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1358147318M/29127.JPG,PHILOSOPHY
1322,1322,1322,1322,"MAGYK (SEPTIMUS HEAP, #1)",ANGIE SAGE,60577312,198,2005.0,4.0,HTTPS://S.GR-ASSETS.COM/ASSETS/NOPHOTO/BOOK/111X148-BCC042A9C91A29C1D680899EFF700A03.PNG,SCIENCE
1323,1323,1323,1323,FEVER 1793,LAURIE HALSE ANDERSON,689848919,127,2000.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1381743126M/781110.JPG,HORROR
1324,1324,1324,1324,"THE LIKENESS (DUBLIN MURDER SQUAD, #2)",TANA FRENCH,670018864,156,2008.0,4.0,HTTPS://S.GR-ASSETS.COM/ASSETS/NOPHOTO/BOOK/111X148-BCC042A9C91A29C1D680899EFF700A03.PNG,CRIME
1325,1325,1325,1325,DEAD WAKE: THE LAST CROSSING OF THE LUSITANIA,ERIK LARSON,307408868,146,2015.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1408923747M/22551730.JPG,SCIENCE
1326,1326,1326,1326,THE JUNGLE BOOK,RUDYARD KIPLING,812504690,1406,1894.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1327873594M/77270.JPG,SCIENCE
1327,1327,1327,1327,"I AM PILGRIM (PILGRIM, #1)",TERRY HAYES,1439177724,101,2013.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1403345411M/18144124.JPG,HISTORY
1328,1328,1328,1328,HOWL AND OTHER POEMS,"ALLEN GINSBERG, WILLIAM CARLOS WILLIAMS",872863107,147,1956.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1327870926M/6295.JPG,SCIENCE
1329,1329,1329,1329,DON'T SWEAT THE SMALL STUFF ... AND IT'S ALL SMALL STUFF: SIMPLE WAYS TO KEEP THE LITTLE THINGS FROM TAKING OVER YOUR LIFE,RICHARD CARLSON,073380084X,182,1997.0,4.0,HTTPS://S.GR-ASSETS.COM/ASSETS/NOPHOTO/BOOK/111X148-BCC042A9C91A29C1D680899EFF700A03.PNG,TEXTBOOK
1330,1330,1330,1330,GO THE FUCK TO SLEEP,"ADAM MANSBACH, RICARDO CORTÉS",1617750255,151,2011.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1342861907M/11192642.JPG,HORROR
1331,1331,1331,1331,"MOSTLY HARMLESS (HITCHHIKER'S GUIDE TO THE GALAXY, #5)",DOUGLAS ADAMS,345418778,207,1992.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1320725132M/360.JPG,CLASSIC
1332,1332,1332,1332,BENJAMIN FRANKLIN: AN AMERICAN LIFE,WALTER ISAACSON,074325807X,130,2003.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1397772877M/10883.JPG,CRIME
1333,1333,1333,1333,THE TIGER'S WIFE,TÉA OBREHT,385343833,159,2011.0,3.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1382570044M/8366402.JPG,HORROR
1334,1334,1334,1334,"POISON STUDY (STUDY, #1)",MARIA V. SNYDER,778324338,171,2005.0,4.0,HTTPS://S.GR-ASSETS.COM/ASSETS/NOPHOTO/BOOK/111X148-BCC042A9C91A29C1D680899EFF700A03.PNG,SCIENCEFICTION
1335,1335,1335,1335,"LOVER UNBOUND (BLACK DAGGER BROTHERHOOD, #5)",J.R. WARD,451222350,152,2007.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1351276662M/304027.JPG,BIOGRAPHY
1336,1336,1336,1336,"GOING POSTAL (DISCWORLD, #33; MOIST VON LIPWIG, #1)",TERRY PRATCHETT,60502932,165,2004.0,4.0,HTTPS://S.GR-ASSETS.COM/ASSETS/NOPHOTO/BOOK/111X148-BCC042A9C91A29C1D680899EFF700A03.PNG,TEXTBOOK
1337,1337,1337,1337,THE BOOK OF MORMON: ANOTHER TESTAMENT OF JESUS CHRIST,"ANONYMOUS, JOSEPH SMITH JR.",967686563,443,1830.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1327389004M/323355.JPG,HORROR
1338,1338,1338,1338,THE MIST,STEPHEN KING,451223292,135,1980.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1331317781M/813214.JPG,BIOGRAPHY
1339,1339,1339,1339,"DEAD BEAT (THE DRESDEN FILES, #7)",JIM BUTCHER,045146091X,130,2005.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1345667776M/17683.JPG,CRIME
1340,1340,1340,1340,"GOLDEN SON (RED RISING, #2)",PIERCE BROWN,345539826,163,2015.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1394684475M/18966819.JPG,SCIENCEFICTION
1341,1341,1341,1341,"NIGHT WATCH (DISCWORLD, #29; CITY WATCH, #6)",TERRY PRATCHETT,055215430X,162,2002.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1320518310M/47989.JPG,CRIME
1342,1342,1342,1342,"THE LIGHT FANTASTIC (DISCWORLD, #2; RINCEWIND #2)",TERRY PRATCHETT,61020702,217,1986.0,4.0,HTTPS://S.GR-ASSETS.COM/ASSETS/NOPHOTO/BOOK/111X148-BCC042A9C91A29C1D680899EFF700A03.PNG,TRAVEL
1343,1343,1343,1343,WHAT THE DOG SAW AND OTHER ADVENTURES,MALCOLM GLADWELL,316078573,161,2009.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1344263875M/6516450.JPG,HORROR
1344,1344,1344,1344,PRETTY GIRLS,KARIN SLAUGHTER,62430874,112,2015.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1432205734M/25574782.JPG,SCIENCE
1345,1345,1345,1345,"LAST ARGUMENT OF KINGS (THE FIRST LAW, #3)",JOE ABERCROMBIE,575077905,160,2008.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1302062699M/944076.JPG,SCIENCE
1346,1346,1346,1346,REVIVAL,STEPHEN KING,1476770387,176,2014.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1394651975M/20926278.JPG,CRIME
1347,1347,1347,1347,HORTON HEARS A WHO!,DR. SEUSS,679800034,137,1954.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1327924655M/7779.JPG,CRIME
1348,1348,1348,1348,THE BLIND SIDE: EVOLUTION OF A GAME,MICHAEL   LEWIS,393330478,135,2006.0,4.0,HTTPS://S.GR-ASSETS.COM/ASSETS/NOPHOTO/BOOK/111X148-BCC042A9C91A29C1D680899EFF700A03.PNG,YOUNGADULT
1349,1349,1349,1349,"LIRAEL (ABHORSEN, #2)",GARTH NIX,60590165,169,2001.0,4.0,HTTPS://S.GR-ASSETS.COM/ASSETS/NOPHOTO/BOOK/111X148-BCC042A9C91A29C1D680899EFF700A03.PNG,CLASSIC
1350,1350,1350,1350,"SCHOOL'S OUT—FOREVER (MAXIMUM RIDE, #2)",JAMES PATTERSON,316155594,172,2006.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1346079917M/13139.JPG,SCIENCE
1351,1351,1351,1351,"BLACK BUTLER, VOL. 1 (BLACK BUTLER, #1)","YANA TOBOSO, TOMO KIMURA",316080845,117,2007.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1336691148M/6690979.JPG,PHILOSOPHY
1352,1352,1352,1352,"WINTER (THE LUNAR CHRONICLES, #4)",MARISSA MEYER,312642989,140,2015.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1470057036M/13206900.JPG,SCIENCEFICTION
1353,1353,1353,1353,THE STRANGE CASE OF DR. JEKYLL AND MR. HYDE AND OTHER TALES OF TERROR,"ROBERT LOUIS STEVENSON, ROBERT MIGHALL",141439734,132,1886.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1327927453M/51497.JPG,SCIENCE
1354,1354,1354,1354,THE HUNGER GAMES TRIBUTE GUIDE,EMILY SEIFE,545457823,113,2012.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1322760235M/13027304.JPG,SCIENCE
1355,1355,1355,1355,"THE WARDED MAN (DEMON CYCLE, #1)",PETER V. BRETT,345503805,167,2008.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1354571949M/3428935.JPG,TRAVEL
1356,1356,1356,1356,THE PILGRIM'S PROGRESS,JOHN BUNYAN,486426750,293,1678.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1405982367M/29797.JPG,TEXTBOOK
1357,1357,1357,1357,"ONE SHOT (JACK REACHER, #9)",LEE CHILD,440241022,207,2005.0,4.0,HTTPS://S.GR-ASSETS.COM/ASSETS/NOPHOTO/BOOK/111X148-BCC042A9C91A29C1D680899EFF700A03.PNG,SCIENCE
1358,1358,1358,1358,"THE SERPENT'S SHADOW (KANE CHRONICLES, #3)",RICK RIORDAN,1423140575,160,2012.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1366227982M/12893742.JPG,YOUNGADULT
1359,1359,1359,1359,DUMA KEY,STEPHEN KING,1416552510,205,2008.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1470266968M/472343.JPG,HORROR
1360,1360,1360,1360,THE HOUSE AT RIVERTON,KATE MORTON,330448447,221,2006.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1356452218M/1278752.JPG,CLASSIC
1361,1361,1361,1361,"WINTER'S HEART (WHEEL OF TIME, #9)",ROBERT JORDAN,081257558X,159,2000.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1480096268M/13891.JPG,TEXTBOOK
1362,1362,1362,1362,"PROVEN GUILTY (THE DRESDEN FILES, #8)",JIM BUTCHER,451461037,131,2006.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1345667469M/91474.JPG,PHILOSOPHY
1363,1363,1363,1363,"NOTES FROM UNDERGROUND, WHITE NIGHTS, THE DREAM OF A RIDICULOUS MAN, AND SELECTIONS FROM THE HOUSE OF THE DEAD","FYODOR DOSTOYEVSKY, ANDREW R. MACANDREW, BEN MARCUS",451529553,112,1864.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1411241656M/17876.JPG,YOUNGADULT
1364,1364,1364,1364,THE HEART IS A LONELY HUNTER,CARSON MCCULLERS,618084746,238,1940.0,4.0,HTTPS://S.GR-ASSETS.COM/ASSETS/NOPHOTO/BOOK/111X148-BCC042A9C91A29C1D680899EFF700A03.PNG,TEXTBOOK
1365,1365,1365,1365,"THE INFINITE SEA (THE 5TH WAVE, #2)",RICK YANCEY,,168,2014.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1395351812M/16131484.JPG,CLASSIC
1366,1366,1366,1366,THE ONCE AND FUTURE KING (THE ONCE AND FUTURE KING #1-4),T.H. WHITE,441627404,209,1958.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1338741283M/43545.JPG,BIOGRAPHY
1367,1367,1367,1367,"SMALL GODS (DISCWORLD, #13)",TERRY PRATCHETT,552152978,181,1992.0,4.0,HTTPS://S.GR-ASSETS.COM/ASSETS/NOPHOTO/BOOK/111X148-BCC042A9C91A29C1D680899EFF700A03.PNG,SCIENCEFICTION
1368,1368,1368,1368,"BUD, NOT BUDDY",CHRISTOPHER PAUL CURTIS,385323069,151,1999.0,4.0,HTTPS://S.GR-ASSETS.COM/ASSETS/NOPHOTO/BOOK/111X148-BCC042A9C91A29C1D680899EFF700A03.PNG,SCIENCE
1369,1369,1369,1369,FUN HOME: A FAMILY TRAGICOMIC,ALISON BECHDEL,618477942,142,2006.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1327652831M/38990.JPG,HISTORY
1370,1370,1370,1370,PREDICTABLY IRRATIONAL: THE HIDDEN FORCES THAT SHAPE OUR DECISIONS,DAN ARIELY,006135323X,185,2007.0,4.0,HTTPS://S.GR-ASSETS.COM/ASSETS/NOPHOTO/BOOK/111X148-BCC042A9C91A29C1D680899EFF700A03.PNG,PHILOSOPHY
1371,1371,1371,1371,الفيل الأزرق,أحمد مراد,,106,2012.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1485105416M/16031620.JPG,SCIENCEFICTION
1372,1372,1372,1372,"THE INDIAN IN THE CUPBOARD (THE INDIAN IN THE CUPBOARD, #1)",LYNNE REID BANKS,7148984,164,1980.0,4.0,HTTPS://S.GR-ASSETS.COM/ASSETS/NOPHOTO/BOOK/111X148-BCC042A9C91A29C1D680899EFF700A03.PNG,PHILOSOPHY
1373,1373,1373,1373,"A MEMORY OF LIGHT (WHEEL OF TIME, #14)","ROBERT JORDAN, BRANDON SANDERSON",765325950,133,2012.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1336055749M/7743175.JPG,SCIENCE
1374,1374,1374,1374,ME AND EARL AND THE DYING GIRL,JESSE ANDREWS,1419701762,175,2012.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1337216932M/12700353.JPG,YOUNGADULT
1375,1375,1375,1375,"THE UGLY TRUTH (DIARY OF A WIMPY KID, #5)",JEFF KINNEY,810984911,171,2010.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1332046095M/7823678.JPG,TEXTBOOK
1376,1376,1376,1376,"JANET EVANOVICH THREE AND FOUR TWO-BOOK SET (STEPHANIE PLUM, #3-4)",JANET EVANOVICH,312990227,102,2002.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1317792858M/147074.JPG,BIOGRAPHY
1377,1377,1377,1377,"THE PROFESSOR AND THE MADMAN: A TALE OF MURDER, INSANITY AND THE MAKING OF THE OXFORD ENGLISH DICTIONARY",SIMON WINCHESTER,60839783,172,1998.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1407110918M/25019.JPG,TEXTBOOK
1378,1378,1378,1378,"2ND CHANCE (WOMEN'S MURDER CLUB, #2)","JAMES PATTERSON, ANDREW GROSS",446696633,203,2002.0,4.0,HTTPS://S.GR-ASSETS.COM/ASSETS/NOPHOTO/BOOK/111X148-BCC042A9C91A29C1D680899EFF700A03.PNG,HISTORY
1379,1379,1379,1379,"THE COMPLETE MAUS (MAUS, #1-2)",ART SPIEGELMAN,141014083,180,1986.0,5.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1327354180M/15195.JPG,PHILOSOPHY
1380,1380,1380,1380,"THE EYRE AFFAIR (THURSDAY NEXT, #1)",JASPER FFORDE,142001805,104,2001.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1445540555M/27003.JPG,HORROR
1381,1381,1381,1381,ANNE RICE'S THE VAMPIRE LESTAT: A GRAPHIC NOVEL,"FAYE PEROZICH, ANNE RICE, JOHN BOLTON, DAERICK GRÖSS",345373944,104,1989.0,4.0,HTTPS://S.GR-ASSETS.COM/ASSETS/NOPHOTO/BOOK/111X148-BCC042A9C91A29C1D680899EFF700A03.PNG,SCIENCE
1382,1382,1382,1382,SIDEWAYS STORIES FROM WAYSIDE SCHOOL (WAYSIDE SCHOOL #1),"LOUIS SACHAR, ADAM MCCAULEY",747571775,134,1978.0,4.0,HTTPS://S.GR-ASSETS.COM/ASSETS/NOPHOTO/BOOK/111X148-BCC042A9C91A29C1D680899EFF700A03.PNG,CRIME
1383,1383,1383,1383,THE ART OF HAPPINESS,"DALAI LAMA XIV, HOWARD C. CUTLER",1573221112,194,1998.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1309287434M/38210.JPG,CRIME
1384,1384,1384,1384,THE BONE CLOCKS,DAVID MITCHELL,1400065674,160,2014.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1398205538M/20819685.JPG,CRIME
1385,1385,1385,1385,BLACK AND BLUE,ANNA QUINDLEN,385333137,138,1998.0,4.0,HTTPS://S.GR-ASSETS.COM/ASSETS/NOPHOTO/BOOK/111X148-BCC042A9C91A29C1D680899EFF700A03.PNG,TEXTBOOK
1386,1386,1386,1386,"ORIGINS (THE VAMPIRE DIARIES: STEFAN'S DIARIES, #1)","L.J. SMITH, KEVIN WILLIAMSON, JULIE PLEC",62003933,137,2010.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1282055412M/7726143.JPG,TRAVEL
1387,1387,1387,1387,THE LAST JUROR,JOHN GRISHAM,385339682,201,2004.0,4.0,HTTPS://S.GR-ASSETS.COM/ASSETS/NOPHOTO/BOOK/111X148-BCC042A9C91A29C1D680899EFF700A03.PNG,YOUNGADULT
1388,1388,1388,1388,DIARY,CHUCK PALAHNIUK,1400032814,159,2003.0,4.0,HTTPS://S.GR-ASSETS.COM/ASSETS/NOPHOTO/BOOK/111X148-BCC042A9C91A29C1D680899EFF700A03.PNG,SCIENCE
1389,1389,1389,1389,"ELEVEN ON TOP (STEPHANIE PLUM, #11)",JANET EVANOVICH,312985347,148,2005.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1166394806M/11003.JPG,CRIME
1390,1390,1390,1390,"INKSPELL (INKWORLD, #2)","CORNELIA FUNKE, ANTHEA BELL",439554004,182,2005.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1395358683M/28195.JPG,BIOGRAPHY
1391,1391,1391,1391,"SEX, DRUGS, AND COCOA PUFFS: A LOW CULTURE MANIFESTO",CHUCK KLOSTERMAN,743236017,116,2003.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1380742001M/599.JPG,HORROR
1392,1392,1392,1392,BRIDESHEAD REVISITED: THE SACRED AND PROFANE MEMORIES OF CAPTAIN CHARLES RYDER,EVELYN WAUGH,316926345,257,1945.0,4.0,HTTPS://S.GR-ASSETS.COM/ASSETS/NOPHOTO/BOOK/111X148-BCC042A9C91A29C1D680899EFF700A03.PNG,CLASSIC
1393,1393,1393,1393,"WHITE NIGHT (THE DRESDEN FILES, #9)",JIM BUTCHER,451461401,133,2007.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1309552288M/91475.JPG,PHILOSOPHY
1394,1394,1394,1394,THE MINIATURIST,JESSIE BURTON,62306812,198,2014.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1392415313M/18498569.JPG,SCIENCE
1395,1395,1395,1395,"DRAGONS OF AUTUMN TWILIGHT  (DRAGONLANCE: CHRONICLES, #1)","MARGARET WEIS, TRACY HICKMAN",786915749,169,1984.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1390668127M/259836.JPG,SCIENCE
1396,1396,1396,1396,"THE LOST COLONY (ARTEMIS FOWL, #5)",EOIN COLFER,786849568,179,2006.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1360177158M/37586.JPG,HORROR
1397,1397,1397,1397,"EXTRAS (UGLIES, #4)",SCOTT WESTERFELD,1416951172,152,2006.0,4.0,HTTPS://S.GR-ASSETS.COM/ASSETS/NOPHOTO/BOOK/111X148-BCC042A9C91A29C1D680899EFF700A03.PNG,HISTORY
1398,1398,1398,1398,"THE BURNING BRIDGE (RANGER'S APPRENTICE, #2)",JOHN FLANAGAN,399244557,173,2005.0,4.0,HTTPS://S.GR-ASSETS.COM/ASSETS/NOPHOTO/BOOK/111X148-BCC042A9C91A29C1D680899EFF700A03.PNG,SCIENCE
1399,1399,1399,1399,"THE BOOK OF LIFE (ALL SOULS TRILOGY, #3)",DEBORAH HARKNESS,670025593,154,2014.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1389281784M/16054217.JPG,HISTORY
1400,1400,1400,1400,THE ARTIST'S WAY: A SPIRITUAL PATH TO HIGHER CREATIVITY,JULIA CAMERON,1585421464,172,1992.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1440952332M/615570.JPG,SCIENCE
1401,1401,1401,1401,THE STINKY CHEESE MAN AND OTHER FAIRLY STUPID TALES,"JON SCIESZKA, LANE SMITH",067084487X,113,1992.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1488588399M/407429.JPG,TEXTBOOK
1402,1402,1402,1402,HORNS,JOE HILL,61147958,108,2009.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1402958805M/6587879.JPG,SCIENCE
1403,1403,1403,1403,CATHERINE THE GREAT: PORTRAIT OF A WOMAN,ROBERT K. MASSIE,679456724,133,2011.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1403395276M/10414941.JPG,HORROR
1404,1404,1404,1404,"THE YEAR OF THE FLOOD  (MADDADDAM, #2)",MARGARET ATWOOD,385528779,182,2009.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1327906873M/6080337.JPG,SCIENCE
1405,1405,1405,1405,WINTER GARDEN,KRISTIN HANNAH,312364121,156,2009.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1265932201M/6668467.JPG,TEXTBOOK
1406,1406,1406,1406,THE KING OF TORTS,JOHN GRISHAM,385339658,211,2003.0,4.0,HTTPS://S.GR-ASSETS.COM/ASSETS/NOPHOTO/BOOK/111X148-BCC042A9C91A29C1D680899EFF700A03.PNG,SCIENCE
1407,1407,1407,1407,LONE SURVIVOR: THE EYEWITNESS ACCOUNT OF OPERATION REDWING AND THE LOST HEROES OF SEAL TEAM 10,"MARCUS LUTTRELL, PATRICK ROBINSON",316067598,157,2006.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1344265535M/711901.JPG,CRIME
1408,1408,1408,1408,THE 3 MISTAKES OF MY LIFE,CHETAN BHAGAT,,118,2008.0,3.0,HTTPS://S.GR-ASSETS.COM/ASSETS/NOPHOTO/BOOK/111X148-BCC042A9C91A29C1D680899EFF700A03.PNG,HISTORY
1409,1409,1409,1409,"THE MURDER OF ROGER ACKROYD (HERCULE POIROT, #4)",AGATHA CHRISTIE,1579126278,396,1926.0,4.0,HTTPS://S.GR-ASSETS.COM/ASSETS/NOPHOTO/BOOK/111X148-BCC042A9C91A29C1D680899EFF700A03.PNG,SCIENCE
1410,1410,1410,1410,NATIVE SON,RICHARD WRIGHT,006083756X,203,1940.0,4.0,HTTPS://S.GR-ASSETS.COM/ASSETS/NOPHOTO/BOOK/111X148-BCC042A9C91A29C1D680899EFF700A03.PNG,SCIENCEFICTION
1411,1411,1411,1411,"SHADOW'S EDGE (NIGHT ANGEL, #2)",BRENT WEEKS,316033650,138,2008.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1327881435M/3754016.JPG,YOUNGADULT
1412,1412,1412,1412,"UNDER THE NEVER SKY (UNDER THE NEVER SKY, #1)",VERONICA ROSSI,1907411054,157,2011.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1356591725M/11594257.JPG,SCIENCE
1413,1413,1413,1413,"TRUE BELIEVER (JEREMY MARSH & LEXIE DARNELL, #1)",NICHOLAS SPARKS,044669651X,194,2003.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1385739017M/3464.JPG,HORROR
1414,1414,1414,1414,THE LEAN STARTUP: HOW TODAY'S ENTREPRENEURS USE CONTINUOUS INNOVATION TO CREATE RADICALLY SUCCESSFUL BUSINESSES,ERIC RIES,307887898,147,2011.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1333576876M/10127019.JPG,HORROR
1415,1415,1415,1415,"THE GOLDEN LILY (BLOODLINES, #2)",RICHELLE MEAD,1595143181,135,2012.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1360599818M/8709523.JPG,TRAVEL
1416,1416,1416,1416,CHASING HARRY WINSTON,LAUREN WEISBERGER,743290119,189,2008.0,3.0,HTTPS://S.GR-ASSETS.COM/ASSETS/NOPHOTO/BOOK/111X148-BCC042A9C91A29C1D680899EFF700A03.PNG,SCIENCE
1417,1417,1417,1417,"MAGICIAN'S GAMBIT (THE BELGARIAD, #3)",DAVID EDDINGS,345335457,155,1983.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1315276590M/44688.JPG,HORROR
1418,1418,1418,1418,THE STAND: CAPTAIN TRIPS,"ROBERTO AGUIRRE-SACASA, STEPHEN KING, MIKE PERKINS, LAURA       MARTIN",785136207,118,2009.0,4.0,HTTPS://S.GR-ASSETS.COM/ASSETS/NOPHOTO/BOOK/111X148-BCC042A9C91A29C1D680899EFF700A03.PNG,CRIME
1419,1419,1419,1419,THE RISE AND FALL OF THE THIRD REICH: A HISTORY OF NAZI GERMANY,WILLIAM L. SHIRER,671728687,101,1960.0,4.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1331223772M/767171.JPG,HORROR
1420,1420,1420,1420,A LONG WAY DOWN,NICK HORNBY,1594481938,189,2005.0,3.0,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1467861525M/10073.JPG,YOUNGADULT
